,document,topic,gamma
691,35115418,1,0.383755179
692,36393236,1,0.500638579
693,36694745,1,0.798281175
694,37529832,1,0.467245619
695,38827768,1,0.735488693
696,40300385,1,0.354065686
697,40753207,1,0.961011801
698,41303010,1,0.786045297
699,42223402,1,0.612162176
700,44650158,1,0.441269302
701,46553976,1,0.677103116
702,47025056,1,0.836412681
703,47377257,1,0.489217095
704,48696570,1,0.612715166
705,48795937,1,0.740392185
706,50527987,1,0.910626298
707,52046837,1,0.667047078
708,52507136,1,0.69586865
709,52805743,1,0.738584552
710,54596938,1,0.679989561
711,54794836,1,0.823880027
712,56902167,1,0.963232591
713,57568254,1,0.57818051
714,59604979,1,0.964456413
715,60163982,1,0.635122385
716,65150294,1,0.59432439
717,66003298,1,0.716877213
718,66620811,1,0.748040084
719,66998500,1,0.491896326
720,68510405,1,0.62138735
721,68697815,1,0.764158226
722,70350773,1,0.893651882
723,71541963,1,0.654691992
724,75218651,1,0.922825575
725,75978322,1,0.906538465
726,76992012,1,0.659214061
727,78974015,1,0.883627491
728,79313175,1,0.828789734
729,79463727,1,0.736798867
730,80318761,1,0.959888628
731,81040447,1,0.46795332
732,81312774,1,0.80131399
733,81543753,1,0.897678995
734,81668331,1,0.957657011
735,82461733,1,0.988679339
736,82694436,1,0.543070878
737,83326384,1,0.584175675
738,83879397,1,0.468429286
739,84591016,1,0.667129196
740,85128217,1,0.966393913
741,87160511,1,0.960880721
742,87571693,1,0.648752083
743,88425124,1,0.947235136
744,90076389,1,0.545564533
745,93796362,1,0.895402562
746,95273209,1,0.950073882
747,96822371,1,0.980228658
748,97596518,1,0.832192752
749,97779923,1,0.653135434
750,36399769,1,0.538293148
751,37485977,1,0.984925588
752,41863934,1,0.672409463
753,42359310,1,0.674658043
754,42834707,1,0.926237758
755,43129467,1,0.675765272
756,44936274,1,0.482757221
757,45607350,1,0.962151978
758,47336154,1,0.526056622
759,51354612,1,0.455047041
760,51683239,1,0.681111972
761,52347308,1,0.739748693
762,52741163,1,0.912664255
763,54606752,1,0.871916617
764,55132489,1,0.61059673
765,56745867,1,0.724372699
766,57453377,1,0.961061382
767,57735251,1,0.828851419
768,58882078,1,0.357318646
769,59271249,1,0.740321131
770,59412691,1,0.454128479
771,61819065,1,0.761187886
772,62601272,1,0.789888744
773,62933030,1,0.885503113
774,64592338,1,0.831386779
775,64685182,1,0.850808811
776,65805181,1,0.851110429
777,66188270,1,0.876192703
778,66785115,1,0.741134183
779,70204193,1,0.906871696
780,74952820,1,0.948638224
781,75302540,1,0.630306539
782,75661755,1,0.859146972
783,76724420,1,0.949182453
784,78390985,1,0.708761926
785,79747980,1,0.500866863
786,80288619,1,0.956877855
787,81882499,1,0.717661622
788,82073896,1,0.823394558
789,82732894,1,0.507887991
790,83066225,1,0.869398311
791,83405989,1,0.827717023
792,84135042,1,0.704737771
793,84211245,1,0.507514554
794,86184670,1,0.874692031
795,86362659,1,0.798367451
796,87263178,1,0.592775661
797,92453802,1,0.840218184
798,95893783,1,0.990753578
799,96768610,1,0.476389057
800,97178364,1,0.569357918
801,97515642,1,0.939202676
802,35951048,1,0.75303131
803,37894574,1,0.559643532
804,41783291,1,0.849683566
805,42278379,1,0.543993661
806,42301850,1,0.855584684
807,44123256,1,0.923788589
808,44556581,1,0.872694623
809,45114905,1,0.696304281
810,45207242,1,0.526903517
811,46285749,1,0.85381315
812,48351729,1,0.727811394
813,48417464,1,0.655833828
814,48882986,1,0.729531195
815,49128133,1,0.703543614
816,49128531,1,0.97753783
817,50361670,1,0.644091844
818,51940925,1,0.639711031
819,53425161,1,0.664272681
820,54023284,1,0.936289619
821,54196524,1,0.992789618
822,54241495,1,0.948844182
823,56937648,1,0.929993796
824,57241507,1,0.950311463
825,57665171,1,0.524218931
826,58105765,1,0.972261386
827,59697159,1,0.797768677
828,60521423,1,0.897052927
829,63046895,1,0.682953607
830,64192297,1,0.655939016
831,64436290,1,0.858225829
832,66615390,1,0.915193352
833,66796549,1,0.826008016
834,67011827,1,0.958081102
835,67230545,1,0.900088379
836,67401041,1,0.489086631
837,67418710,1,0.898575613
838,67877072,1,0.970788603
839,68050696,1,0.867459888
840,69073340,1,0.852304285
841,69543438,1,0.975318983
842,69645314,1,0.589478406
843,69667667,1,0.8991589
844,69748128,1,0.828244915
845,69759526,1,0.965729853
846,70547263,1,0.841955297
847,71028756,1,0.880594074
848,71649451,1,0.923581289
849,72712162,1,0.91261816
850,73861717,1,0.965693673
851,74150523,1,0.993505819
852,74152511,1,0.849768546
853,76237703,1,0.888255367
854,76978188,1,0.692766585
855,77527364,1,0.91913632
856,78803354,1,0.877173031
857,80037478,1,0.776055
858,80280910,1,0.683457688
859,80288162,1,0.958087382
860,80288783,1,0.975333811
861,80415598,1,0.604535722
862,80436837,1,0.841405111
863,80516065,1,0.991620387
864,81457535,1,0.741283884
865,81699900,1,0.498400485
866,82752588,1,0.882551313
867,83044718,1,0.707054298
868,83397958,1,0.913051164
869,83472436,1,0.788712812
870,83885855,1,0.95050817
871,83988300,1,0.614934001
872,85007432,1,0.729712093
873,85751820,1,0.805691375
874,85912162,1,0.690326456
875,86604613,1,0.787041451
876,86979292,1,0.833024921
