,document,topic,gamma
928,35615041,1,0.559953234
929,35749905,1,0.463971812
930,35769633,1,0.461826779
931,35786713,1,0.601457456
932,36690456,1,0.226315395
933,37184592,1,0.326376992
934,38903876,1,0.326376992
935,40131362,1,0.340500906
936,41280935,1,0.226727368
937,41281313,1,0.226727368
938,42627634,1,0.226727368
939,42627646,1,0.226727368
940,43405331,1,0.304652061
941,43865620,1,0.326376139
942,44183106,1,0.304652061
943,44580198,1,0.326376992
944,44862857,1,0.34721205
945,45039748,1,0.270281543
946,45416083,1,0.419607815
947,45581323,1,0.46105603
948,45581525,1,0.688347425
949,45582078,1,0.741840378
950,45582156,1,0.781015567
951,45582270,1,0.46105603
952,45582510,1,0.781015567
953,45582702,1,0.781015567
954,45583084,1,0.7775035
955,45583338,1,0.781252304
956,45672723,1,0.43642332
957,45674947,1,0.739064637
958,45675556,1,0.740052709
959,46124526,1,0.304652061
960,46203940,1,0.568987405
961,46350214,1,0.326376992
962,46350468,1,0.326376992
963,46350499,1,0.326376992
964,46351140,1,0.226727355
965,46351946,1,0.326376992
966,46352775,1,0.326376992
967,46352916,1,0.326376992
968,47050225,1,0.568987405
969,47114735,1,0.326376992
970,47115093,1,0.326376992
971,48187461,1,0.408913628
972,48768021,1,0.304652061
973,48926528,1,0.326376992
974,49105003,1,0.326376992
975,49247808,1,0.326376992
976,51649689,1,0.326376992
977,51744066,1,0.261210194
978,52260209,1,0.342789823
979,52684173,1,0.226727368
980,53753742,1,0.326376139
981,53755914,1,0.326376139
982,53842285,1,0.326376139
983,53842317,1,0.326376139
984,53842352,1,0.326376139
985,53842360,1,0.326376139
986,53892006,1,0.326376139
987,55102461,1,0.326376992
988,55607471,1,0.246430715
989,55651060,1,0.468491867
990,55903726,1,0.296733036
991,55920329,1,0.326376992
992,55996993,1,0.326376992
993,56013056,1,0.326376992
994,56458997,1,0.366870436
995,56476407,1,0.507641869
996,56759240,1,0.477232748
