project_id,family_id,depth,stars,forks,active_forks,users_repo,users_also_in_family,age,followers_repo,followers_family,followers_outside,pr_repo,pr_family,pr_repo_comments,pr_family_comments,pr_repo_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_comments_repo,issue_comments_family,issue_comments_outside,issue_subscribed_repo,issue_subscribed_family,issue_subscribed_outside,issue_unsubscribed_repo,issue_unsubscribed_family,issue_unsubscribed_outside,issue_closed_repo,issue_closed_family,issue_closed_outside,issue_reopened_repo,issue_reopened_family,issue_reopened_outside,issue_referenced_repo,issue_referenced_family,issue_referenced_outside,issue_assigned_repo,issue_assigned_family,issue_assigned_outside,issue_mentioned_repo,issue_mentioned_family,issue_mentioned_outside,pr_mentioned_repo,pr_mentioned_family,pr_mentioned_outside,issue_mentioned_unique_repo,issue_mentioned_unique_family,issue_mentioned_unique_outside,pr_mentioned_unique_repo,pr_mentioned_unique_family,pr_mentioned_unique_outside,issue_repo_pos,issue_repo_neg,issue_family_pos,issue_family_neg,issue_outside_pos,issue_outside_neg,pr_repo_pos,pr_repo_neg,pr_family_pos,pr_family_neg,pr_repo_code_pos,pr_repo_code_neg,pr_family_code_pos,pr_family_code_neg
72597,72592,1,0,0,0,1,1,2412,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.5455,-1.1818,1,-1,1,-1
72598,72592,1,1,0,0,4,4,1839,2,26,3993,0,30,0,152,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.3367,-1.0765,1,-1,1.2,-1.0571
74187,42212,1,0,1,0,3,3,2600,1,0,404,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.375,-1,1,-1,1,-1
81960,26259,1,0,2,0,1,1,2397,0,0,91,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.0769,-1.0385,1,-1,1,-1
88347,88347,0,86,19,9,7,1,2776,8,3,496,7,18,5,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1.0667,1.1852,-1.1667,1,-1,1,-1
88626,3085101,1,38,59,16,9,2,2397,2,5,491,9,31,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.1538,-1.1026,1,-1,1,-1
94940,3541792,1,1,0,0,3,2,2389,1,5,62,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.5,-1.4,1,-1,1,-1
105221,105254,1,1,0,0,8,4,2446,4,2,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
105254,105254,0,12,33,13,1,1,2938,0,2,48,0,2,0,12,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1429,-1,1,-1,1,-1,1,-1,1.4375,-1,1,-1,1,-1
105264,36013,1,0,1,0,1,0,2407,0,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.3333,-1,1,-1,1,-1
107452,107452,0,106,68,13,1,1,3174,0,1,38,0,12,0,27,0,0,0,0,7,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1.3214,-1.2857,1,-1,1.2979,-1.1702,1,-1,1,-1
113688,26259,1,0,0,0,1,1,2253,0,0,4,0,2,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.2381,-1.5238,1,-1,1,-1.1429
115910,115910,0,194,35,15,3,3,3618,0,1,206,0,30,0,59,0,0,6,1,29,4,3,50,4,0,5,0,0,0,5,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0667,-1,1.4,-1.8,1.4944,-1.4045,1,-1,1.4107,-1.2411,1,-1,1,-1
125754,125754,0,1166,104,52,20,17,2545,9,25,5255,1,68,0,77,0,0,4,13,115,8,41,413,21,0,17,0,0,0,57,7,28,3,0,5,6,4,1,0,0,0,17,0,14,0,0,0,13,0,12,0,0,0,1.7333,-1.0667,1.5373,-1.2985,1.3898,-1.275,1,-1,1.2981,-1.1298,1,-1,1,-1
135020,135020,0,202,83,28,17,14,3955,0,0,1108,1,33,1,56,0,0,23,2,29,17,6,72,18,0,2,0,0,0,36,0,6,0,0,1,12,1,0,16,0,0,0,0,0,6,0,2,0,0,0,3,0,1,1.069,-1.0345,1.4,-1.2,1.3983,-1.2119,1.3333,-1,1.4711,-1.0744,1,-1,1,-1
135384,135384,0,22,52,31,11,10,2548,2,3,358,2,99,3,133,0,19,8,24,46,18,54,108,3,9,2,0,0,0,40,5,6,0,0,1,16,8,0,0,0,0,3,9,1,0,0,0,3,5,1,0,0,0,1.1818,-1.1515,1.2,-1.1158,1.2931,-1.2126,1,-1,1.146,-1.1366,1,-1,1.1579,-1.2632
135388,26259,1,0,0,0,1,1,2621,0,1,34,0,6,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.0909,-1.1818,1,-1,1.5,-1.5
137086,41893,1,1,0,0,1,1,2451,0,0,52,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.3333,-1,1,-1,1,-1
